episode,reward,rail length
1020,-381.26032900059295,4
1021,-377.76032900059295,4
1022,-377.76032900059295,4
1023,-52.537294102916235,10
1024,-377.76032900059295,4
1025,-384.26032900059295,4
1026,-373.76032900059295,4
1027,-376.26032900059295,4
1028,-366.26032900059295,4
1029,-385.26032900059295,4
1030,-312.84526422799524,5
1031,-43.537294102916235,10
1032,3.5398883655775535,11
1033,-369.26032900059295,4
1034,-325.34526422799524,5
1035,-371.76032900059295,4
1036,-180.54223466203337,8
1037,-437.5815238949143,3
1038,-429.0815238949143,3
1039,-218.31508458632646,7
1040,-380.26032900059295,4
1041,-335.34526422799524,5
1042,-113.42107717301701,9
1043,-372.76032900059295,4
1044,-376.76032900059295,4
1045,-119.42107717301701,9
1046,-11.460111634422447,11
1047,-369.26032900059295,4
1048,-324.84526422799524,5
1049,-376.26032900059295,4
1050,-370.26032900059295,4
1051,-364.76032900059295,4
1052,-329.34526422799524,5
1053,-334.84526422799524,5
1054,-183.54223466203337,8
1055,-227.31508458632646,7
1056,-233.81508458632646,7
1057,-369.26032900059295,4
1058,18.539888365577553,11
1059,-277.6306403446053,6
1060,-379.76032900059295,4
1061,-172.04223466203337,8
1062,-375.76032900059295,4
1063,-368.76032900059295,4
1064,-277.6306403446053,6
1065,-278.1306403446053,6
1066,-382.76032900059295,4
1067,-281.6306403446053,6
